CODFILIAL,DTMOV,CODPROD,DESCRICAO,QT
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,5
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,20/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,3
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,20/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,2
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,5
1,20/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,2
1,20/11/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,2
1,20/11/2020 00:00,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,1
1,20/11/2020 00:00,449,CHANDELLE CHANTILLY CARAMELO 24X200G,1
1,20/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,20/11/2020 00:00,174,NESTON IOGURTE LIQ MACA BNA 12X850G,1
1,20/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,3
1,20/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,20/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,4
1,20/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1
1,20/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,2
1,20/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,4
1,20/11/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,3
1,20/11/2020 00:00,1517,NESTON IOGURTE LIQ MACA E BAN 24X170G,5
1,20/11/2020 00:00,1521,CHAMYTO GO IOG LIQ MORANGO 24X100G,2
1,20/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,20/11/2020 00:00,2039,NESFIT IOGURTE MARACUJA AVEIA 12X850G,1
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,10
1,20/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,10
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,30
1,20/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,21/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,12
1,21/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1
1,21/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,21/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,21/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,21/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,4
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,30
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,21/11/2020 00:00,174,NESTON IOGURTE LIQ MACA BNA 12X850G,1
1,21/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,1
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,2
1,21/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,21/11/2020 00:00,1736,NESTLE IOGURTE POLPA VITAMINA 6X540G,4
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,23/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,6
1,23/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1
1,23/11/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,3
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,23/11/2020 00:00,1940,NESTLE GREGO TORTA MARACUJA 24X90G,1
1,23/11/2020 00:00,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,1
1,23/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,2
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,5
1,23/11/2020 00:00,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,2
1,23/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,1
1,23/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,3
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,23/11/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,2
1,23/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,23/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,2
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,23/11/2020 00:00,451,CHAMBINHO CHOCOLATE 16X320G,1
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,1
1,23/11/2020 00:00,1505,NESTLE IOG VIT DE FRUTA 24X170G,5
1,23/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,3
1,23/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,3
1,23/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,1
1,24/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,2
1,24/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,2
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,4
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,18
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,24/11/2020 00:00,180,NINHO IOGURTE POLPA 6X540G,1
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,30
1,24/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,1
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,5
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,24/11/2020 00:00,183,CHAMBINHO PETIT MOR 16X320G,3
1,24/11/2020 00:00,288,NINHO IOGURTE MORANGO 24X170G,6
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,24/11/2020 00:00,450,CHANDELLE CHOCOLATE 24X180G,1
1,24/11/2020 00:00,453,CHANDELLE CHOCOLATE 18X360G,2
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,24/11/2020 00:00,1509,NESTLE IOGURTE MORANGO 24X170G,6
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,6
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,3
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,6
1,24/11/2020 00:00,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,12
1,24/11/2020 00:00,1735,NESTLE IOGURTE POLPA MORANGO 6X540G,18
