Cod_filial,FILIAL,CODPROD,DATA,DESCRICAO,EMBALAGEM,QTESTGER
1,ATACADO,167,13/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,635
1,ATACADO,167,14/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,533
1,ATACADO,167,15/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1440
1,ATACADO,167,16/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1291
1,ATACADO,167,17/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1291
1,ATACADO,167,18/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1196
1,ATACADO,167,19/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1098
1,ATACADO,167,20/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,932
1,ATACADO,167,21/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,848
1,ATACADO,167,22/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1768
1,ATACADO,167,23/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1445
1,ATACADO,167,24/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1445
1,ATACADO,167,25/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1304
1,ATACADO,167,26/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,812
1,ATACADO,167,27/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,759
1,ATACADO,167,28/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,688
1,ATACADO,167,29/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1364
1,ATACADO,167,30/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1245
1,ATACADO,167,31/01/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1245
1,ATACADO,167,01/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1107
1,ATACADO,167,02/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,679
1,ATACADO,167,03/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,536
1,ATACADO,167,04/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,495
1,ATACADO,167,05/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1142
1,ATACADO,167,06/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1109
1,ATACADO,167,07/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,1109
1,ATACADO,167,08/02/2021 00:00,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,130G,795
