Filial;CODPROD;DESCRICAO;DTMOV;QT
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;12/03/2021;1
1;254;NINHO FRUTI MORANGO 8X250G;12/03/2021;4
1;453;CHANDELLE CHOCOLATE 18X360G;12/03/2021;9
1;1506;NESTLE IOG VIT DE FRUTA 12X900G;12/03/2021;3
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;12/03/2021;8
1;254;NINHO FRUTI MORANGO 8X250G;12/03/2021;8
1;288;NINHO IOGURTE MORANGO 24X170G;12/03/2021;1
1;1505;NESTLE IOG VIT DE FRUTA 24X170G;12/03/2021;3
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;12/03/2021;3
1;1736;NESTLE IOGURTE POLPA VITAMINA 6X540G;12/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;12/03/2021;2
1;2037;NESFIT IOGURTE FRUTAS VERM 12X850G;12/03/2021;2
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;12/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;12/03/2021;1
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;12/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;12/03/2021;3
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;12/03/2021;1
1;1887;CHANDELLE CHOCOLATE BRANCO 18X360G;12/03/2021;1
1;167;CHAMYTO IOGURTE MOR+CER CHOC 24X130G;12/03/2021;3
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;12/03/2021;4
1;180;NINHO IOGURTE POLPA 6X540G;12/03/2021;33
1;183;CHAMBINHO PETIT MOR 16X320G;12/03/2021;1
1;204;NESTLE FLAN CARAMELO 20X200G;12/03/2021;1
1;287;NINHO IOGURTE LIQ MACA E BANANA 24X170G;12/03/2021;7
1;288;NINHO IOGURTE MORANGO 24X170G;12/03/2021;7
1;333;NESTON IOGURTE POLPA 2 SABORES 6X540G;12/03/2021;1
1;448;CHANDELLE CHANTILLY CHOCOLATE 24X200G;12/03/2021;1
1;453;CHANDELLE CHOCOLATE 18X360G;12/03/2021;2
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;12/03/2021;6
1;1735;NESTLE IOGURTE POLPA MORANGO 6X540G;12/03/2021;3
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;12/03/2021;1
1;1941;NESTLE GREGO TRADICIONAL 24X90G;12/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;12/03/2021;1
1;2104;NESFIT IOGURTE MORANGO BAUN 20X150G;12/03/2021;2
1;212;NINHO SOLEIL PETIT MRG+BNA&MC 16X320G;13/03/2021;2
1;453;CHANDELLE CHOCOLATE 18X360G;13/03/2021;1
1;1517;NESTON IOGURTE LIQ MACA E BAN 24X170G;13/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;13/03/2021;3
1;183;CHAMBINHO PETIT MOR 16X320G;13/03/2021;4
1;195;IOGURTE GREGO NESTLE TRADICIONAL 12X400G;13/03/2021;2
1;1508;NESTLE GREGO IOG LT MORANGO 12X360G;13/03/2021;1
1;1939;NESTLE GREGO FRUTAS VERMELHAS 24X90G;13/03/2021;1
1;1940;NESTLE GREGO TORTA MARACUJA 24X90G;13/03/2021;1
1;1958;NESTLE GREGO TORTA MORANGO 24X90G;13/03/2021;1
1;2041;NESFIT IOGURTE MARACUJA AVEIA 24X170G;13/03/2021;1
1;168;CHAMYTO BEB LACTEA MOR+CER CRML 24X130G;13/03/2021;3
1;180;NINHO IOGURTE POLPA 6X540G;13/03/2021;14
