DESCRICAO,CODFILIAL,FILIAL,CODPROD,DTULTENT,VALORULTENT,QTULTENT
NESTLE IOGURTE POLPA VITAMINA 6X540G,1,ATACADO,1736,08/03/2021 00:00,2.869298,3330
IOGURTE GREGO NESTLE TRADICIONAL 12X400G,1,ATACADO,195,08/03/2021 00:00,4.484274,144
MOLICO IOGURTE LIQ BAUN 24X170G,1,ATACADO,2455,05/02/2021 00:00,1.498825,480
NESTLE IOG VIT DE FRUTA 24X170G,1,ATACADO,1505,08/03/2021 00:00,1.334819,1440
NESTLE GREGO TORTA MARACUJA 24X90G,1,ATACADO,1940,27/02/2021 00:00,1.365712,432
NESTLE GREGO TRADICIONAL 24X90G,1,ATACADO,1941,08/03/2021 00:00,1.36598,432
MOLICO IOGURTE LIQ MRG 12X850G,1,ATACADO,2099,29/01/2021 00:00,6.250017,168
MOLICO IOGURTE LIQ MRG 24X170G,1,ATACADO,2100,13/02/2021 00:00,1.498835,480
NESFIT IOGURTE FRUTAS VERM 12X850G,1,ATACADO,2037,27/02/2021 00:00,7.31039,168
NESFIT IOGURTE MORANGO BAUN 12X850G,1,ATACADO,2038,27/02/2021 00:00,7.31039,168
NESFIT IOGURTE MARACUJA AVEIA 12X850G,1,ATACADO,2039,08/03/2021 00:00,7.311825,168
NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,1,ATACADO,2040,13/02/2021 00:00,1.931239,480
NESFIT IOGURTE MARACUJA AVEIA 24X170G,1,ATACADO,2041,29/01/2021 00:00,1.931431,480
NESTLE GREGO TORTA LIMAO 24X90G,1,ATACADO,1963,08/03/2021 00:00,1.36598,432
NESTLE GREGO FRUTAS VERMELHAS 24X90G,1,ATACADO,1939,08/03/2021 00:00,1.36598,432
CHAMBINHO PETIT MRG 64X80G,1,ATACADO,2347,28/12/2020 00:00,0.825112,768
