CODFILIAL,CODPROD,DESCRICAO,SALDO,NUMPED,DTEMISSAO
1,2040,NESFIT IOGURTE FRUTAS VERMELHAS 24X170G,0,6544,28/12/2020 00:00
1,2041,NESFIT IOGURTE MARACUJA AVEIA 24X170G,0,6544,28/12/2020 00:00
1,2042,NESFIT IOGURTE MORANGO BAUN 24X170G,0,6544,28/12/2020 00:00
1,2099,MOLICO IOGURTE LIQ MRG 12X850G,0,6544,28/12/2020 00:00
1,2100,MOLICO IOGURTE LIQ MRG 24X170G,0,6544,28/12/2020 00:00
1,2127,NESFIT IOGURTE FRUTAS VERMELHAS 20X150G,0,6544,28/12/2020 00:00
1,2347,CHAMBINHO PETIT MRG 64X80G,0,6544,28/12/2020 00:00
1,2373,NINHO IOGURTE POLPA 6X720G,0,6544,28/12/2020 00:00
1,2373,NINHO IOGURTE POLPA 6X720G,0,6544,28/12/2020 00:00
1,167,CHAMYTO IOGURTE MOR+CER CHOC 24X130G,0,6555,30/12/2020 00:00
1,168,CHAMYTO BEB LACTEA MOR+CER CRML 24X130G,0,6555,30/12/2020 00:00
1,174,NESTON IOGURTE LIQ MACA BNA 12X850G,0,6555,30/12/2020 00:00
1,176,NINHO IOGURTE LIQ MACA E BANANA 12X850G,0,6555,30/12/2020 00:00
1,180,NINHO IOGURTE POLPA 6X540G,0,6555,30/12/2020 00:00
1,182,CHAMBINHO PETIT MRG 12X480G,0,6555,30/12/2020 00:00
1,183,CHAMBINHO PETIT MOR 16X320G,0,6555,30/12/2020 00:00
1,192,NESTLE BICAM IOGURTE MORANGO 28X150G,0,6555,30/12/2020 00:00
1,204,NESTLE FLAN CARAMELO 20X200G,0,6555,30/12/2020 00:00
1,206,NESTLE GREGO IOG LIGHT 3 SAB 6X540G,0,6555,30/12/2020 00:00
1,212,NINHO SOLEIL PETIT MRG+BNA&MC 16X320G,0,6555,30/12/2020 00:00
1,213,REQUEIJAO CREMOSO NESTLE 15X200G,0,6555,30/12/2020 00:00
1,214,REQUEIJAO CREMOSO NESTLE LIGHT 15X200G,0,6555,30/12/2020 00:00
1,254,NINHO FRUTI MORANGO 8X250G,0,6555,30/12/2020 00:00
1,287,NINHO IOGURTE LIQ MACA E BANANA 24X170G,0,6555,30/12/2020 00:00
1,288,NINHO IOGURTE MORANGO 24X170G,0,6555,30/12/2020 00:00
1,333,NESTON IOGURTE POLPA 2 SABORES 6X540G,0,6555,30/12/2020 00:00
1,448,CHANDELLE CHANTILLY CHOCOLATE 24X200G,0,6555,30/12/2020 00:00
1,450,CHANDELLE CHOCOLATE 24X180G,0,6555,30/12/2020 00:00
